2026-02-18 20:58:05,314 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 20:58:15,982 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 0/10, run_mse: 0.44677834319818216, e_icl_trace: 1.535733383049504
2026-02-18 20:58:15,985 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 20:58:26,689 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 1/10, run_mse: 0.47300070655945814, e_icl_trace: 1.5384118660282293
2026-02-18 20:58:26,692 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 20:58:37,465 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 2/10, run_mse: 0.4517564857280412, e_icl_trace: 1.5305642062702298
2026-02-18 20:58:37,465 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 20:58:48,243 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 3/10, run_mse: 0.45142535896244745, e_icl_trace: 1.5225956239207548
2026-02-18 20:58:48,244 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 20:58:59,138 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 4/10, run_mse: 0.43828539266932076, e_icl_trace: 1.5492972115420032
2026-02-18 20:58:59,139 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 20:59:09,913 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 5/10, run_mse: 0.46386001880437894, e_icl_trace: 1.5405372714666774
2026-02-18 20:59:09,913 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 20:59:20,743 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 6/10, run_mse: 0.4656072210968392, e_icl_trace: 1.5487790928458993
2026-02-18 20:59:20,743 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 20:59:31,721 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 7/10, run_mse: 0.42900472469843765, e_icl_trace: 1.5485490318237436
2026-02-18 20:59:31,721 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 20:59:42,594 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 8/10, run_mse: 0.47505168886612553, e_icl_trace: 1.538446970363868
2026-02-18 20:59:42,594 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 20:59:53,436 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 9/10, run_mse: 0.46531110184736535, e_icl_trace: 1.5465588969512045
2026-02-18 20:59:53,437 | __main__ | INFO | End experiment with alpha: 2.35, beta: 0 | mse_runs: [0.44677834319818216, 0.47300070655945814, 0.4517564857280412, 0.45142535896244745, 0.43828539266932076, 0.46386001880437894, 0.4656072210968392, 0.42900472469843765, 0.47505168886612553, 0.46531110184736535], mean_mse: 0.4560081042430596, std_mse: 0.014350231132153378
2026-02-18 20:59:53,450 | __main__ | INFO | Experiment starting: beta=0, alpha=5.5, ell=550, d=100, rho=0.5
2026-02-18 21:00:04,500 | __main__ | INFO |    beta=0, alpha=5.5, ell=550, d=100, rho=0.5, run: 0/10, run_mse: 0.4118464185656127, e_icl_trace: 1.5489777027982754
2026-02-18 21:00:04,500 | __main__ | INFO | Experiment starting: beta=0, alpha=5.5, ell=550, d=100, rho=0.5
2026-02-18 21:00:15,592 | __main__ | INFO |    beta=0, alpha=5.5, ell=550, d=100, rho=0.5, run: 1/10, run_mse: 0.3869876670488702, e_icl_trace: 1.5816194891016355
2026-02-18 21:00:15,592 | __main__ | INFO | Experiment starting: beta=0, alpha=5.5, ell=550, d=100, rho=0.5
2026-02-18 21:00:26,568 | __main__ | INFO |    beta=0, alpha=5.5, ell=550, d=100, rho=0.5, run: 2/10, run_mse: 0.40199592012493907, e_icl_trace: 1.5635715120647369
2026-02-18 21:00:26,569 | __main__ | INFO | Experiment starting: beta=0, alpha=5.5, ell=550, d=100, rho=0.5
2026-02-18 21:00:37,557 | __main__ | INFO |    beta=0, alpha=5.5, ell=550, d=100, rho=0.5, run: 3/10, run_mse: 0.3859705225552315, e_icl_trace: 1.5412113632969355
2026-02-18 21:00:37,558 | __main__ | INFO | Experiment starting: beta=0, alpha=5.5, ell=550, d=100, rho=0.5
